Architecture,Anonymization,Retrieval Recall,Exact Match (EM),F1 Score,Faithfulness,Gap (Hallucination)
Sparse (BM25),Baseline,27.800000000000004,47.599999999999994,53.15243871304847,42.8,-4.799999999999997
Sparse (BM25),Placeholder,15.0,21.4,26.98660066221042,53.400000000000006,32.00000000000001
Sparse (BM25),Faker,14.6,21.6,26.33557280118256,39.6,18.0
Dense (Exact),Baseline,31.8,53.400000000000006,59.26659111620087,45.800000000000004,-7.600000000000001
Dense (Exact),Baseline (Filtered),29.599999999999998,50.8,55.92637806637806,44.0,-6.799999999999997
Dense (Exact),Placeholder,19.6,28.999999999999996,34.39078725423159,56.599999999999994,27.599999999999998
Dense (Exact),Placeholder (Filtered),9.6,15.2,18.80744176458462,65.2,50.0
Dense (Exact),Faker,19.0,28.599999999999998,33.08729320697199,45.800000000000004,17.200000000000006
Dense (Exact),Faker (Filtered),8.799999999999999,14.000000000000002,16.76286938300744,43.2,29.200000000000003
Dense (Exact),Context-Aware,20.8,29.599999999999998,35.32980628551478,53.6,24.000000000000004
Dense (Exact),Context-Aware (Filtered),12.0,16.0,20.117860779531938,59.199999999999996,43.199999999999996
Dense (FAISS),Baseline,31.8,53.400000000000006,59.26659111620087,45.800000000000004,-7.600000000000001
Dense (FAISS),Baseline (Filtered),29.599999999999998,50.8,55.92637806637806,44.0,-6.799999999999997
Dense (FAISS),Placeholder,19.6,28.999999999999996,34.39078725423159,56.599999999999994,27.599999999999998
Dense (FAISS),Placeholder (Filtered),9.6,15.2,18.80744176458462,65.2,50.0
Dense (FAISS),Faker,19.6,28.799999999999997,33.84437743482052,47.4,18.6
Dense (FAISS),Faker (Filtered),9.6,13.600000000000001,17.329786756453423,47.599999999999994,33.99999999999999
Dense (FAISS),Context-Aware,20.8,29.599999999999998,35.32980628551478,53.6,24.000000000000004
Dense (FAISS),Context-Aware (Filtered),12.0,16.0,20.117860779531938,59.199999999999996,43.199999999999996
